gid,esp_cd,cod_snisb,cod_sar,nmoriginal,nmalternat,nmgenerico,nmligacao,nmespecifi,detipomass,dedominial,dedominio,defiscaliz,nmemp,fonmemp,dtreserv,fodtreserv,nuvolumhm3,fonuvolume,nuperimkm,nuareakm2,nuareaha,nucompgeom,usoprinc,fousoprinc,detipoapr,detipomda,salinidade,regime,nmriocomp,nmufe,nmmun,defonte,desatelite,deversao,deobs,nuvzreg,nuvzlago,nuvzdeflu,cdtipooper,detipooper,fovzlago,fovzdeflu,fovzreg,cobarprin,cotrecho,nuvzrecebe,nuvztransf,deobsvazao,cocda2013,cocda2017
33872.0,60375.0,,,,,,,,Natural,Estadual,Corpo Hídrico Estadual,,,,,,,,2.13911103831339,0.153820748579872,15.3820748579872,1.53806601749791,,,,,,,,PARÁ,PONTA DE PEDRAS,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
30816.0,61502.0,,,,,,,,Natural,Estadual,Corpo Hídrico Estadual,,,,,,,,1.69362518289055,0.14897478607378,14.897478607378,1.23739975522011,,,,,,,,PARÁ,OEIRAS DO PARÁ,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
18111.0,62502.0,,,,,,,,Natural,Federal,Terra da União (Unidade de Conservação),,,,,,,,2.75461829960899,0.258282366098358,25.8282366098358,1.52849195937619,,,,,,,,PARÁ,ORIXIMINÁ,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
19445.0,62480.0,,,,,,,,Natural,Estadual,Corpo Hídrico Estadual,,,,,,,,1.27894908446833,0.072409679058693,7.24096790586935,1.34030627976678,,,,,,,,PARÁ,PRAINHA,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
32042.0,60517.0,,,,,,,,Natural,Estadual,Corpo Hídrico Estadual,,,,,,,,0.748709244558499,0.038702270266539,3.87022702665389,1.07323316107195,,,,,,,,PARÁ,JACAREACANGA,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
48219.0,61630.0,,,,,,,,Natural,Estadual,Corpo Hídrico Estadual,,,,,,,,2.66808168634321,0.181160759932889,18.1160759932889,1.76773093996065,,,,,,,,PARÁ,ALTAMIRA,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
240859.0,57312.0,,,,,,,,Natural,Estadual,Corpo Hídrico Estadual,,,,,,,,45.2097778669625,17.3513289241175,1735.13289241175,3.06066015809242,,,,,,,,PARÁ,"QUATIPURU, TRACUATEUA",,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
44350.0,62045.0,,,,,,,,Natural,Estadual,Corpo Hídrico Estadual,,,,,,,,4.91682584573413,0.312125555349473,31.2125555349473,2.48181422859721,,,,,,,,PARÁ,ITAITUBA,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
29390.0,60311.0,,,,,,,,Natural,Estadual,Corpo Hídrico Estadual,,,,,,,,3.23816490716899,0.182921962434723,18.2921962434723,2.13508487622573,,,,,,,,PARÁ,CURRALINHO,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
42953.0,60423.0,,,,,,,,Natural,Federal,Terra da União (Unidade de Conservação),,,,,,,,1.19722282357631,0.0641187376038,6.41187376037995,1.33331146708446,,,,,,,,PARÁ,CANAÃ DOS CARAJÁS,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
