,Area Cidade,Car Registros,CAR - Area,Percentual CAR,Assen. - Area CAT ,Assen. - Area CAR sob CAT,Assen. - N CAR sob CAT,Assen. - Pc CAR sob CAT,Quil. - Area CAT ,Quil. - Area CAR sob CAT,Quil. - N CAR sob CAT,Quil. - Pc CAR sob CAT,TIs - Area CAT ,TIs - Area CAR sob CAT,TIs - N CAR sob CAT,TIs - Pc CAR sob CAT,UCs - Area CAT ,UCs - Area CAR sob CAT,UCs - N CAR sob CAT,UCs - Pc CAR sob CAT
Eldorado do Carajás,2975.251274500503,5916,5993.604394735074,201.4486791789142,1698.982128153231,2298.112085789529,313,38.34273893365812,0.0,0.0,0,0.0,0.2626986801498365,0.33799297811359974,3,0.005639227347245356,0.0,0.0,0,0.0
Faro,11783.75413564418,798,2444.256441864346,20.74259538792326,344.8755426875517,762.8121188400099,43,31.208350554992432,2.582823263383806,3.5951967860145553,5,0.1470875446797364,0.0,0.0,0,0.0,1161.2962283908626,1163.3003492359508,2,47.59322014299974
Floresta do Araguaia,3476.348356835977,2606,4081.8197732273547,117.41687984752059,550.2510598223386,589.5499792933439,80,14.44331234711049,0.0,0.0,0,0.0,3.0323852756269076,0.0,0,0.0,0.0,0.0,0,0.0
Garrafão do Norte,1610.4114544677525,1753,1933.7035466360517,120.07512373756362,407.78609812620874,586.8951614122527,53,30.350834409609433,7.889368456470327,7.138739127779246,2,0.36917443421966534,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Goianésia do Pará,7046.464141763258,3829,6899.062798730825,97.90815166206824,329.45868399870824,384.9801214458337,22,5.5801799849779,0.0,0.0,0,0.0,1626.5023639367378,1581.069288754421,50,22.917160415546295,964.7841221389904,202.9987874445162,69,2.9424110689623024
Gurupá,8578.22548677504,1838,11743.270649735492,136.8962691391124,3420.862011602968,6955.681041819628,55,59.23120780645807,873.5464365745174,1771.5534672004705,7,15.085690520471594,0.0,0.0,0,0.0,1422.1933647011447,1946.8846240665973,12,16.578725656045826
Igarapé-Açu,786.7571508940968,1166,557.9611329614479,70.91910538434414,0.0,0.0,0,0.0,0.6594289275506792,0.0,0,0.0,0.0,0.0,0,0.0,0.05215934846934767,0.0,0,0.0
Igarapé-Miri,1999.6362391516518,3807,1982.6377308484084,99.14991997192175,304.21298842441945,513.2728004867313,29,25.888380539751566,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Inhangapi,473.1245488394198,630,307.65460272734924,65.02613391802004,0.3617420194913516,0.361742001155867,2,0.11758055883092096,4.4716557350410415,4.455804553118391,1,1.4483139578013173,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Ipixuna do Pará,5225.84509360719,2755,7029.201286918379,134.50841272576653,609.6770097310231,800.6241829268507,88,11.389973771512901,0.0,0.0,0,0.0,186.30079958729272,0.0,0,0.0,0.0,0.0,0,0.0
Irituia,1386.9787441586911,2201,1417.915761974716,102.23053294409286,252.12741021076198,371.6202927831103,32,26.208911893719183,43.392034448725376,7.721229602599298,3,0.5445478363147628,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Itaituba,62422.70980988564,5844,29410.918656611037,47.11573519666932,1794.666893085828,2685.551639046968,134,9.131138236116623,0.0,0.0,0,0.0,3610.3900124831184,363.65175867320323,39,1.236451546852519,32427.27320618223,14477.523745144123,933,49.224996723758714
Itupiranga,7917.307825121604,6627,10715.53604021546,135.34317822296973,3006.600697178676,4457.285490118502,647,41.59647705341373,0.0,0.0,0,0.0,1407.024381016723,41.10817027269649,5,0.3836314872015485,178.64798887324088,30.066782919128986,14,0.28059056314390807
Jacareacanga,53797.025273173684,648,20407.33908401711,37.93395448984684,620.8147606213339,984.0410624331621,73,4.821995941665206,0.0,0.0,0,0.0,24834.201306807212,909.5693847074575,4,4.457069983317062,10296.153958468278,13659.086783303786,135,66.93222828840774
Jacundá,2016.2401061256414,1467,1755.6012489990408,87.07302486768612,136.77884183862142,126.83394413861113,7,7.2245302975790056,0.0,0.0,0,0.0,0.0,0.0,0,0.0,603.4038547528116,305.3272709516382,48,17.391607070553242
Juruti,8320.09673408831,1376,12938.814042426755,155.51278375664882,1197.7326038944261,1420.3083583949958,74,10.977113928199003,0.0,0.0,0,0.0,0.0,0.0,0,0.0,55.13965047212389,48.682867281425445,5,0.37625447836094467
Limoeiro do Ajuru,1491.2971236099047,220,1176.0476637341098,78.86072098679523,631.7251849475531,1072.2110111203083,36,91.17071052340631,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Mãe do Rio,469.9874656051503,572,458.68711915415633,97.5956068452924,70.82056668673435,93.569289513397,11,20.39937151188021,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Magalhães Barata,324.2704478368347,536,118.24487835907388,36.464895012132565,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.3122501885479715,0.0,0,0.0
Marabá,15211.327936220394,11919,21892.740053104142,143.92392396573302,3890.0027498388363,7181.159395546448,775,32.801556032399155,0.0,0.0,0,0.0,241.2073573875539,171.92927510690885,17,0.7853255220217683,4069.6765315525367,1316.1971783469319,32,6.012025790989602
Maracanã,808.3450709684561,951,237.50999368484034,29.382252977714842,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,75.3470125434606,0.0,0,0.0
Marapanim,805.3463198400708,728,291.0225455684798,36.13632277183217,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Marituba,103.32497053672509,157,49.14347100657969,47.56204695854472,0.0,0.0,0,0.0,0.11352574876636899,0.16942620552553306,4,0.3447583210043284,0.0,0.0,0,0.0,31.774464521460853,31.15393885530464,10,63.39385114074162
Medicilândia,8291.556342358706,5006,15139.942018605641,182.5946950545447,5188.720005645187,10895.995946706937,429,71.96854474948931,0.0,0.0,0,0.0,299.86621421514724,0.0,0,0.0,0.0,0.0,0,0.0
Melgaço,6780.796758507715,394,8175.753992139361,120.572172906988,2128.5800154828516,4568.546957069401,67,55.87921262628333,2.178109978937528,5.47038087536657,3,0.06690980282217528,0.0,0.0,0,0.0,1961.702148625815,2420.1062319314374,10,29.601015811609138
Mocajuba,872.7150008177147,807,715.4634363896937,81.9813382054073,62.8979212677281,104.47799826795698,8,14.602842431077164,156.3376760830118,179.51226099355353,5,25.09034729984133,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Moju,9111.295231746546,11228,11147.090539801762,122.34364331606642,473.19532148421655,897.9476582736562,44,8.055444199250445,206.53479365013447,455.90078151919283,32,4.089863448146897,86.05354019439274,4.849322434952097,1,0.04350303263113477,0.0,0.0,0,0.0
Mojuí dos Campos,4999.196370642196,3487,9862.537215068684,197.2824526955268,2147.261463159691,5816.918330189339,208,58.97993795452391,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
