,Area Cidade,Car Registros,CAR - Area,Percentual CAR,Assen. - Area CAT ,Assen. - Area CAR sob CAT,Assen. - N CAR sob CAT,Assen. - Pc CAR sob CAT,Quil. - Area CAT ,Quil. - Area CAR sob CAT,Quil. - N CAR sob CAT,Quil. - Pc CAR sob CAT,TIs - Area CAT ,TIs - Area CAR sob CAT,TIs - N CAR sob CAT,TIs - Pc CAR sob CAT,UCs - Area CAT ,UCs - Area CAR sob CAT,UCs - N CAR sob CAT,UCs - Pc CAR sob CAT
Juruti,0.6753994092019104,1376,1.0503324227258506,155.51278375664882,0.0972281836264976,0.11529618666742938,74,10.977113928199003,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.004476064226500018,0.003951922778183022,5,0.37625447836094467
Limoeiro do Ajuru,0.1210588324176505,220,0.09546786806275538,78.86072098679523,0.0512814730799278,0.08703873363436218,36,91.17071052340631,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Mãe do Rio,0.03815211129715364,572,0.03723478454474845,97.5956068452924,0.005748991920201054,0.00759566203093139,11,20.39937151188021,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Magalhães Barata,0.026323259919962424,536,0.009598749093585069,36.464895012132565,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,2.5347492896859226e-05,0.0,0,0.0
Marabá,1.2348079871724629,11919,1.7771841085808937,143.92392396573302,0.3157782466964128,0.5829440411750553,775,32.801556032399155,0.0,0.0,0,0.0,0.019580458242419614,0.013956680378000812,17,0.7853255220217683,0.33036360187880104,0.10684476696125199,32,6.012025790989602
Maracanã,0.06561892256931742,951,0.019280317830567665,29.382252977714842,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.006116434626112374,0.0,0,0.0
Marapanim,0.06537549333944358,728,0.023624299286818973,36.13632277183217,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Marituba,0.0083875976790498,157,0.0039893131468034726,47.56204695854472,0.0,0.0,0,0.0,9.215664925128056e-06,1.3753489024524592e-05,4,0.3447583210043284,0.0,0.0,0,0.0,0.0025793515690239496,0.0025289792378226286,10,63.39385114074162
Medicilândia,0.6730825895387941,5006,1.229013101833594,182.5946950545447,0.42120404826169366,0.8845028441701968,429,71.96854474948931,0.0,0.0,0,0.0,0.024342200624992674,0.0,0,0.0,0.0,0.0,0,0.0
Melgaço,0.5504438555204099,394,0.6636821172339599,120.572172906988,0.1727914627489777,0.3708603414517835,67,55.87921262628333,0.00017681215014291415,0.0004440683960072807,3,0.06690980282217528,0.0,0.0,0,0.0,0.1592448398807199,0.19645664846124675,10,29.601015811609138
