,Unnamed: 0,CAR,cond,cidade,Área_Total,Área CAR sob Assen.,PC CAR sob Assen.,Área CAR sob Quil.,PC CAR sob Quil.,Área CAR sob TIs,PC CAR sob TIs,Área CAR sob UCs,PC CAR sob UCs
111900,PA-1500602-FA2D9C82024D4D1897B012D5D7BCF1D8,PA-1500602-FA2D9C82024D4D1897B012D5D7BCF1D8,Aguardando analise,Altamira,0.0020000820844739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112218,PA-1501758-54CA03CEACE74A3EB3383BB3F52B29A2,PA-1501758-54CA03CEACE74A3EB3383BB3F52B29A2,Aguardando analise,Brejo Grande do Araguaia,0.0074607152732409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112924,PA-1507300-71415782929646B38FB4FA680833DD2C,PA-1507300-71415782929646B38FB4FA680833DD2C,Aguardando analise,Sao Felix do Xingu,0.0224450027951728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112928,PA-1507300-001AFBD3C09544B6B859DC38DBAE49FB,PA-1507300-001AFBD3C09544B6B859DC38DBAE49FB,Aguardando analise,Sao Felix do Xingu,0.0616555402581433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114732,PA-1507300-7CD044E357C94AA187A5DD23CE01F649,PA-1507300-7CD044E357C94AA187A5DD23CE01F649,"Analisado, aguardando atendimento a notificacao",Sao Felix do Xingu,0.0252578090697588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114750,PA-1507300-729F5A6654FE409987DA99E775CF9DD9,PA-1507300-729F5A6654FE409987DA99E775CF9DD9,Aguardando analise,Sao Felix do Xingu,0.0308137029334416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115136,PA-1507300-C357500C97354EA2BE205879918141A1,PA-1507300-C357500C97354EA2BE205879918141A1,Aguardando analise,Sao Felix do Xingu,0.0356460126779878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115137,PA-1507300-77735157EB1F4DAEAEEAB1B069A8F4E1,PA-1507300-77735157EB1F4DAEAEEAB1B069A8F4E1,Aguardando analise,Sao Felix do Xingu,0.0065712061722275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115141,PA-1507300-03F1F280BE4C45C2A5F34C2DE92E8454,PA-1507300-03F1F280BE4C45C2A5F34C2DE92E8454,Aguardando analise,Sao Felix do Xingu,0.060503898476591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115227,PA-1507300-05A73CAF379D47348E134D3EDC8126F9,PA-1507300-05A73CAF379D47348E134D3EDC8126F9,Aguardando analise,Sao Felix do Xingu,2.1213325991226504,2.1213325991226504,100.0,0.0,0.0,0.0,0.0,2.1213325991226504,100.0
116810,PA-1507300-8384971926A149F5B9720C57C91644E9,PA-1507300-8384971926A149F5B9720C57C91644E9,Aguardando analise,Sao Felix do Xingu,0.0012178865054965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118868,PA-1507300-E55EA05B89634C86833F595B9CCE7681,PA-1507300-E55EA05B89634C86833F595B9CCE7681,Aguardando analise,Sao Felix do Xingu,0.0663171658507556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119279,PA-1503093-C0FC1D421BF6476B85E7FD7FE7D7ED99,PA-1503093-C0FC1D421BF6476B85E7FD7FE7D7ED99,Aguardando analise,Goianesia do Para,0.0262963566936453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121414,PA-1505494-3752B7C7B4654B919108DED3937D44D5,PA-1505494-3752B7C7B4654B919108DED3937D44D5,Aguardando analise,Palestina do Para,0.0068725556085393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
